"CBSAFIPS","CBSANAME","CBSAPOP","CBSARANK","ALL_COUNT","ALL_98_COMMUNITY","ALL_98_TOURISM","ALL_98_CONSUMPTION","ALL_98_INSTITUTIONAL","ALL_98_ECONOMIC","ALL_95_COMMUNITY","ALL_95_TOURISM","ALL_95_CONSUMPTION","ALL_95_INSTITUTIONAL","ALL_95_ECONOMIC","PRIMARY_COUNT","PRIMARY_COMMUNITY","PRIMARY_TOURISM","PRIMARY_CONSUMPTION","PRIMARY_INSTITUTIONAL","PRIMARY_ECONOMIC","SECONDARY_COUNT","SECONDARY_COMMUNITY","SECONDARY_TOURISM","SECONDARY_CONSUMPTION","SECONDARY_INSTITUTIONAL","SECONDARY_ECONOMIC","MONO_COUNT","MONO_COMMUNITY","MONO_TOURISM","MONO_CONSUMPTION","MONO_INSTITUTIONAL","MONO_ECONOMIC"
35620,"New York-Newark-Jersey City, NY-NJ-PA",20140470,1,1156,0.255190311418685,0.139273356401384,0.255190311418685,0.255190311418685,0.255190311418685,0.3780276816609,0.310553633217993,0.448961937716263,0.306228373702422,0.488754325259516,249,0.389558232931727,0.357429718875502,0.746987951807229,0.21285140562249,0.795180722891566,445,0.404494382022472,0.352808988764045,0.626966292134831,0.204494382022472,0.665168539325843,462,0.285714285714286,0.112554112554113,0.0714285714285714,0.426406926406926,0.103896103896104
31080,"Los Angeles-Long Beach-Anaheim, CA",13200998,2,708,0.244350282485876,0.115819209039548,0.244350282485876,0.244350282485876,0.244350282485876,0.344632768361582,0.28954802259887,0.370056497175141,0.358757062146893,0.415254237288136,134,0.350746268656716,0.350746268656716,0.597014925373134,0.425373134328358,0.544776119402985,262,0.370229007633588,0.419847328244275,0.450381679389313,0.381679389312977,0.541984732824427,312,0.291666666666667,0.0641025641025641,0.163461538461538,0.288461538461538,0.192307692307692
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9618502,3,565,0.244247787610619,0.155752212389381,0.244247787610619,0.244247787610619,0.244247787610619,0.332743362831858,0.299115044247788,0.394690265486726,0.332743362831858,0.382300884955752,94,0.404255319148936,0.521276595744681,0.74468085106383,0.234042553191489,0.712765957446808,198,0.388888888888889,0.414141414141414,0.494949494949495,0.363636363636364,0.46969696969697,273,0.245421245421245,0.0989010989010989,0.168498168498169,0.315018315018315,0.172161172161172
19100,"Dallas-Fort Worth-Arlington, TX",7637387,4,385,0.228571428571429,0.122077922077922,0.228571428571429,0.228571428571429,0.228571428571429,0.290909090909091,0.301298701298701,0.368831168831169,0.366233766233766,0.371428571428571,55,0.418181818181818,0.418181818181818,0.618181818181818,0.418181818181818,0.581818181818182,142,0.295774647887324,0.485915492957746,0.507042253521127,0.450704225352113,0.471830985915493,188,0.25,0.0957446808510638,0.175531914893617,0.265957446808511,0.212765957446809
26420,"Houston-The Woodlands-Sugar Land, TX",7122240,5,381,0.217847769028871,0.217847769028871,0.217847769028871,0.217847769028871,0.217847769028871,0.31758530183727,0.335958005249344,0.338582677165354,0.304461942257218,0.351706036745407,61,0.311475409836066,0.491803278688525,0.557377049180328,0.524590163934426,0.409836065573771,130,0.4,0.407692307692308,0.492307692307692,0.307692307692308,0.5,190,0.247368421052632,0.2,0.147368421052632,0.221052631578947,0.184210526315789
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6385162,6,351,0.230769230769231,0.230769230769231,0.230769230769231,0.230769230769231,0.230769230769231,0.327635327635328,0.378917378917379,0.415954415954416,0.387464387464387,0.438746438746439,73,0.410958904109589,0.547945205479452,0.616438356164384,0.36986301369863,0.506849315068493,140,0.314285714285714,0.421428571428571,0.571428571428571,0.385714285714286,0.628571428571429,138,0.27536231884058,0.173913043478261,0.108695652173913,0.333333333333333,0.108695652173913
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6245051,7,365,0.252054794520548,0.145205479452055,0.252054794520548,0.252054794520548,0.252054794520548,0.367123287671233,0.295890410958904,0.378082191780822,0.361643835616438,0.413698630136986,66,0.484848484848485,0.454545454545455,0.757575757575758,0.378787878787879,0.712121212121212,125,0.392,0.4,0.48,0.376,0.528,174,0.258620689655172,0.0977011494252874,0.155172413793103,0.298850574712644,0.189655172413793
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",6138333,8,343,0.230320699708455,0.17201166180758,0.230320699708455,0.230320699708455,0.230320699708455,0.346938775510204,0.341107871720117,0.370262390670554,0.34402332361516,0.411078717201166,68,0.382352941176471,0.338235294117647,0.573529411764706,0.308823529411765,0.588235294117647,131,0.358778625954198,0.412213740458015,0.480916030534351,0.396946564885496,0.534351145038168,144,0.298611111111111,0.152777777777778,0.138888888888889,0.277777777777778,0.131944444444444
12060,"Atlanta-Sandy Springs-Alpharetta, GA",6089815,9,349,0.226361031518625,0.226361031518625,0.226361031518625,0.226361031518625,0.226361031518625,0.30945558739255,0.375358166189112,0.39541547277937,0.332378223495702,0.363896848137536,62,0.580645161290323,0.451612903225806,0.580645161290323,0.403225806451613,0.516129032258065,120,0.291666666666667,0.375,0.533333333333333,0.408333333333333,0.55,167,0.191616766467066,0.239520958083832,0.197604790419162,0.239520958083832,0.131736526946108
14460,"Boston-Cambridge-Newton, MA-NH",4941632,10,299,0.237458193979933,0.217391304347826,0.237458193979933,0.237458193979933,0.237458193979933,0.374581939799331,0.367892976588629,0.411371237458194,0.354515050167224,0.404682274247492,63,0.396825396825397,0.444444444444444,0.714285714285714,0.317460317460317,0.73015873015873,111,0.405405405405405,0.468468468468468,0.531531531531532,0.387387387387387,0.513513513513513,125,0.28,0.168,0.128,0.296,0.128
