"CBSAFIPS","CBSANAME","CBSAPOP","CBSARANK","PRIMARY_COUNT","COMM_TOUR","COMM_CONS","COMM_INST","COMM_ECON","TOUR_CONS","TOUR_INST","TOUR_ECON","CONS_INST","CONS_ECON","INST_ECON","COMM_TOUR_CONS","COMM_TOUR_INST","COMM_TOUR_ECON","COMM_CONS_INST","COMM_CONS_ECON","COMM_INST_ECON","TOUR_CONS_INST","TOUR_CONS_ECON","TOUR_INST_ECON","CONS_INST_ECON","COMM_TOUR_CONS_INST","COMM_TOUR_CONS_ECON","COMM_TOUR_INST_ECON","COMM_CONS_INST_ECON","TOUR_CONS_INST_ECON","COMM_TOUR_CONS_INST_ECON"
35620,"New York-Newark-Jersey City, NY-NJ-PA",20140470,1,249,0.0200803212851406,0.0562248995983936,0.0160642570281124,0.0682730923694779,0.0240963855421687,0.072289156626506,0.0281124497991968,0.00401606425702811,0.273092369477912,0.036144578313253,0.0120481927710843,0,0.00401606425702811,0,0.124497991967871,0.00401606425702811,0,0.116465863453815,0.00401606425702811,0.0441767068273092,0,0.0602409638554217,0,0.0160642570281124,0.00803212851405622,0.00803212851405622
31080,"Los Angeles-Long Beach-Anaheim, CA",13200998,2,134,0.0522388059701493,0.0671641791044776,0.0522388059701493,0.0447761194029851,0.0298507462686567,0.0970149253731343,0.0447761194029851,0.0671641791044776,0.246268656716418,0.0895522388059701,0.0223880597014925,0.00746268656716418,0,0.0373134328358209,0.0223880597014925,0,0.0149253731343284,0.0298507462686567,0.0149253731343284,0.00746268656716418,0.00746268656716418,0.0149253731343284,0,0.0149253731343284,0.00746268656716418,0.00746268656716418
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9618502,3,94,0.0212765957446809,0.0957446808510638,0.0106382978723404,0.0425531914893617,0.0319148936170213,0.0851063829787234,0.0531914893617021,0.0212765957446809,0.202127659574468,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0,0.0851063829787234,0,0,0.148936170212766,0.0106382978723404,0.0106382978723404,0,0.0638297872340425,0,0,0.0212765957446809,0.0531914893617021
19100,"Dallas-Fort Worth-Arlington, TX",7637387,4,55,0.0545454545454545,0.109090909090909,0.0181818181818182,0.0545454545454545,0.0363636363636364,0.0545454545454545,0.0181818181818182,0.109090909090909,0.127272727272727,0.109090909090909,0,0.0363636363636364,0,0,0.0545454545454545,0,0,0.109090909090909,0.0181818181818182,0,0,0.0181818181818182,0.0181818181818182,0,0,0.0545454545454545
26420,"Houston-The Woodlands-Sugar Land, TX",7122240,5,61,0.0655737704918033,0.0163934426229508,0.0491803278688525,0.0163934426229508,0.0655737704918033,0.131147540983607,0.0327868852459016,0.0983606557377049,0.229508196721311,0.0819672131147541,0.0327868852459016,0.0655737704918033,0,0.0163934426229508,0,0,0.0163934426229508,0.0163934426229508,0,0,0.0327868852459016,0,0,0,0.0163934426229508,0.0163934426229508
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6385162,6,73,0.0821917808219178,0.0821917808219178,0.0273972602739726,0.0273972602739726,0.0547945205479452,0.164383561643836,0,0.0136986301369863,0.191780821917808,0.0547945205479452,0.0547945205479452,0.0136986301369863,0.0136986301369863,0,0,0,0,0.0684931506849315,0,0.0410958904109589,0,0.0547945205479452,0,0.0136986301369863,0,0.0410958904109589
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6245051,7,66,0,0.136363636363636,0.0151515151515152,0.0303030303030303,0.0151515151515152,0.0606060606060606,0.0151515151515152,0.0606060606060606,0.106060606060606,0.0606060606060606,0,0,0.0151515151515152,0,0.0151515151515152,0.0454545454545455,0,0.106060606060606,0,0.0606060606060606,0,0.181818181818182,0,0.0151515151515152,0.0303030303030303,0.0303030303030303
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",6138333,8,68,0.0294117647058824,0.0735294117647059,0.0882352941176471,0.102941176470588,0.117647058823529,0.0588235294117647,0.0588235294117647,0.0441176470588235,0.191176470588235,0.0735294117647059,0,0,0,0,0.0588235294117647,0,0,0.0588235294117647,0,0.0147058823529412,0,0,0.0147058823529412,0.0147058823529412,0,0
12060,"Atlanta-Sandy Springs-Alpharetta, GA",6089815,9,62,0.0806451612903226,0.112903225806452,0.0483870967741935,0.0645161290322581,0,0.129032258064516,0.032258064516129,0.0161290322580645,0.161290322580645,0,0.0161290322580645,0.032258064516129,0,0,0.0806451612903226,0,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.032258064516129,0.032258064516129,0.032258064516129,0.0161290322580645,0.032258064516129,0,0.032258064516129
14460,"Boston-Cambridge-Newton, MA-NH",4941632,10,63,0.0317460317460317,0.0952380952380952,0.0317460317460317,0.0317460317460317,0.0634920634920635,0.0317460317460317,0.0634920634920635,0,0.158730158730159,0.0476190476190476,0.0158730158730159,0,0,0,0.126984126984127,0.0158730158730159,0,0.0793650793650794,0.0317460317460317,0.0476190476190476,0,0.0158730158730159,0,0,0.0793650793650794,0.0317460317460317
38060,"Phoenix-Mesa-Chandler, AZ",4845832,11,39,0.128205128205128,0.128205128205128,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0512820512820513,0.0256410256410256,0.102564102564103,0.128205128205128,0.179487179487179,0,0.0512820512820513,0,0,0,0,0,0,0.0256410256410256,0,0,0.0256410256410256,0.0256410256410256,0.0256410256410256,0,0.0256410256410256
